Average Academic score(%),Hours working per day,hackathons,coding skills rating,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Suggested Job Role
80.28571429,7,6,9,no,yes,no,machine learning,testing,yes,Computer Architecture,security,job,Product based,no,no,Religion-Spirituality,Management,smart worker,no,Design & UX
73.14285714,9,4,7,yes,yes,yes,machine learning,data science,no,cloud computing,testing,higherstudies,Sales and Marketing,yes,yes,Romance,Technical,hard worker,no,CRM Business Analyst
79,6,5,8,no,yes,no,r programming,testing,yes,Management,system developer,higherstudies,Web Services,yes,yes,Series,Management,hard worker,yes,Software Developer
82.85714286,9,5,7,yes,yes,no,app development,cloud computing,no,networks,Business process analyst,job,Finance,yes,yes,Fantasy,Management,smart worker,no,Solutions Architect
78.57142857,10,4,5,no,no,no,full stack,data science,no,IOT,cloud computing,higherstudies,Cloud Services,no,no,Childrens,Management,smart worker,yes,Technical Support
73.14285714,4,1,4,yes,yes,yes,python,data science,no,hacking,testing,higherstudies,Cloud Services,no,yes,Trilogy,Technical,hard worker,yes,Portal Administrator
74.57142857,8,6,4,no,no,no,r programming,database security,no,parallel computing,system developer,higherstudies,Testing and Maintainance Services,yes,no,Science fiction,Management,hard worker,yes,Information Technology Manager
78.71428571,10,1,2,no,yes,no,information security,data science,yes,parallel computing,developer,higherstudies,Product based,no,no,Health,Technical,smart worker,no,Quality Assurance Associate
75.71428571,6,3,5,no,yes,yes,distro making,game development,no,hacking,testing,job,product development,yes,no,Anthology,Management,smart worker,no,Technical Support
76.28571429,10,4,8,yes,no,no,app development,game development,yes,Computer Architecture,system developer,higherstudies,Sales and Marketing,no,yes,Health,Technical,hard worker,no,Solutions Architect
73.28571429,12,6,3,no,yes,yes,hadoop,hacking,no,Computer Architecture,testing,job,product development,yes,yes,Prayer books,Technical,smart worker,yes,Software Quality Assurance (QA) / Testing
80.14285714,10,2,9,yes,no,no,shell programming,cloud computing,yes,Management,security,higherstudies,Web Services,no,yes,Autobiographies,Technical,smart worker,no,Technical Services/Help Desk/Tech Support
76.42857143,7,1,1,yes,yes,yes,hadoop,cloud computing,no,networks,cloud computing,job,BPA,no,yes,Self help,Management,hard worker,yes,Project Manager
84.71428571,9,0,2,no,yes,yes,python,game development,yes,Computer Architecture,testing,higherstudies,Finance,no,yes,Horror,Technical,smart worker,no,Quality Assurance Associate
75,4,6,7,yes,yes,yes,information security,web technologies,yes,data engineering,Business process analyst,higherstudies,BPA,yes,yes,Prayer books,Technical,hard worker,yes,Technical Engineer
77.42857143,5,4,1,yes,no,yes,machine learning,hacking,no,Software Engineering,system developer,higherstudies,Testing and Maintainance Services,yes,no,Action and Adventure,Technical,hard worker,no,Web Developer
75.28571429,7,3,4,yes,yes,yes,shell programming,database security,no,networks,system developer,higherstudies,Web Services,yes,no,Anthology,Management,smart worker,no,CRM Technical Developer
81.57142857,9,3,5,no,no,yes,r programming,database security,no,Computer Architecture,developer,job,Cloud Services,yes,no,Drama,Management,hard worker,no,Database Administrator
76.71428571,9,4,7,yes,no,no,hadoop,data science,no,IOT,security,higherstudies,Finance,no,no,Travel,Technical,hard worker,yes,Network Engineer
78,9,0,3,no,no,yes,information security,database security,yes,IOT,system developer,higherstudies,SAaS services,yes,no,Religion-Spirituality,Technical,hard worker,no,Applications Developer
74.85714286,10,4,8,yes,no,yes,full stack,database security,yes,data engineering,security,higherstudies,Web Services,yes,no,Biographies,Technical,hard worker,yes,Network Security Administrator
74.71428571,12,3,7,no,no,no,information security,database security,no,data engineering,Business process analyst,job,Web Services,no,no,Comics,Management,smart worker,no,Mobile Applications Developer
77.85714286,9,1,3,no,no,no,machine learning,hacking,yes,Software Engineering,security,job,Product based,no,yes,Self help,Technical,smart worker,no,Web Developer
73.85714286,12,2,3,yes,yes,yes,distro making,game development,no,IOT,testing,higherstudies,product development,yes,no,Horror,Management,smart worker,no,Systems Security Administrator
75.42857143,7,4,8,yes,yes,no,hadoop,data science,yes,hacking,developer,job,Finance,yes,no,Comics,Technical,hard worker,no,Programmer Analyst
80.28571429,5,0,1,yes,yes,yes,shell programming,hacking,no,Management,system developer,higherstudies,Sales and Marketing,yes,yes,Guide,Technical,smart worker,no,Network Security Administrator
78.85714286,12,3,9,no,no,yes,information security,game development,no,Computer Architecture,cloud computing,higherstudies,Service Based,no,yes,Drama,Technical,smart worker,no,Information Technology Auditor
74.71428571,10,2,6,yes,yes,no,app development,game development,no,IOT,security,higherstudies,Sales and Marketing,no,yes,Religion-Spirituality,Technical,smart worker,no,Technical Services/Help Desk/Tech Support
71.14285714,7,1,6,no,yes,no,machine learning,web technologies,no,Computer Architecture,Business process analyst,higherstudies,Service Based,yes,yes,Journals,Management,smart worker,yes,Mobile Applications Developer
85,9,2,7,no,no,no,app development,cloud computing,no,IOT,testing,higherstudies,Sales and Marketing,yes,no,Comics,Technical,hard worker,yes,Programmer Analyst
72.71428571,6,2,2,no,yes,no,app development,system designing,yes,Software Engineering,cloud computing,higherstudies,Product based,yes,no,Art,Technical,hard worker,yes,Database Manager
82.14285714,9,2,2,no,yes,no,shell programming,testing,no,data engineering,cloud computing,higherstudies,Service Based,yes,yes,Mystery,Management,smart worker,no,UX Designer
76.14285714,12,4,6,yes,yes,yes,distro making,database security,no,Management,testing,higherstudies,Product based,yes,yes,Guide,Management,smart worker,no,Information Technology Manager
75.71428571,8,6,5,yes,yes,no,hadoop,cloud computing,no,parallel computing,Business process analyst,higherstudies,Sales and Marketing,yes,yes,Cookbooks,Technical,hard worker,no,Applications Developer
78.42857143,11,1,2,yes,no,yes,r programming,web technologies,yes,networks,Business process analyst,job,Finance,no,no,Horror,Technical,hard worker,yes,Quality Assurance Associate
72.71428571,6,4,6,no,no,no,information security,web technologies,no,data engineering,security,higherstudies,Product based,yes,no,Romance,Management,hard worker,no,Systems Analyst
71.71428571,8,3,5,yes,no,yes,machine learning,database security,yes,programming,system developer,higherstudies,Finance,no,no,Diaries,Management,hard worker,no,CRM Technical Developer
79.85714286,8,4,9,yes,no,no,machine learning,cloud computing,no,networks,system developer,job,Product based,no,no,Science fiction,Technical,hard worker,no,Systems Analyst
77,12,0,3,no,yes,no,python,database security,yes,Management,cloud computing,higherstudies,Finance,yes,yes,Encyclopedias,Technical,smart worker,yes,Solutions Architect
84.14285714,6,0,1,no,no,no,python,testing,yes,programming,system developer,higherstudies,Testing and Maintainance Services,yes,no,Romance,Management,hard worker,no,Technical Support
81.85714286,6,1,4,no,no,no,machine learning,cloud computing,no,networks,system developer,higherstudies,Testing and Maintainance Services,yes,no,Drama,Management,smart worker,no,Software Engineer
74.57142857,8,3,5,yes,yes,no,machine learning,testing,yes,networks,Business process analyst,job,BPA,yes,yes,Encyclopedias,Technical,hard worker,yes,Database Manager
77.71428571,7,2,2,no,yes,no,r programming,cloud computing,no,Computer Architecture,testing,higherstudies,Testing and Maintainance Services,yes,yes,Poetry,Management,hard worker,yes,Network Security Engineer
76.14285714,5,6,3,no,no,yes,full stack,web technologies,yes,data engineering,Business process analyst,job,Testing and Maintainance Services,no,no,Mystery,Technical,smart worker,no,Data Architect
69.85714286,6,5,3,yes,no,no,r programming,hacking,yes,Management,testing,higherstudies,Sales and Marketing,yes,no,Science,Technical,smart worker,yes,Project Manager
80.14285714,9,0,1,no,no,yes,distro making,cloud computing,yes,programming,Business process analyst,job,product development,yes,yes,Romance,Technical,smart worker,yes,Information Technology Manager
77.85714286,8,4,2,yes,no,yes,distro making,hacking,yes,Computer Architecture,security,higherstudies,Service Based,no,yes,Math,Management,hard worker,yes,Software Developer
79.85714286,4,1,6,no,no,yes,python,testing,yes,programming,system developer,higherstudies,Product based,no,no,Religion-Spirituality,Management,hard worker,yes,Programmer Analyst
74.71428571,12,5,8,yes,no,no,machine learning,cloud computing,no,Software Engineering,system developer,job,SAaS services,no,no,Science fiction,Technical,hard worker,yes,Web Developer
77.85714286,8,6,7,no,yes,no,app development,hacking,no,Computer Architecture,system developer,job,Testing and Maintainance Services,yes,no,Travel,Technical,hard worker,no,Network Engineer
77,8,5,9,no,no,no,python,hacking,yes,Management,cloud computing,job,Sales and Marketing,no,no,Science fiction,Management,smart worker,no,Information Technology Auditor
85.57142857,11,4,5,no,yes,no,python,data science,yes,programming,cloud computing,higherstudies,Sales and Marketing,yes,yes,Health,Management,hard worker,no,Technical Support
71.57142857,9,2,6,no,no,no,hadoop,web technologies,no,Computer Architecture,testing,job,Testing and Maintainance Services,no,yes,Autobiographies,Management,hard worker,yes,Database Manager
77.71428571,12,3,4,no,yes,no,app development,system designing,yes,programming,system developer,job,Testing and Maintainance Services,yes,no,Science fiction,Technical,smart worker,yes,Information Technology Auditor
76.85714286,9,2,2,no,yes,no,full stack,hacking,yes,Management,system developer,higherstudies,Testing and Maintainance Services,yes,yes,Anthology,Management,smart worker,no,Systems Analyst
76.42857143,8,4,4,no,no,yes,shell programming,testing,no,networks,Business process analyst,higherstudies,Sales and Marketing,no,no,Poetry,Management,smart worker,yes,Software Developer
77.14285714,12,4,4,yes,no,no,information security,game development,yes,programming,security,job,Web Services,yes,no,Math,Management,smart worker,yes,Applications Developer
83.14285714,9,5,6,yes,yes,no,app development,game development,no,programming,system developer,job,SAaS services,no,no,Childrens,Management,smart worker,yes,Software Quality Assurance (QA) / Testing
72.71428571,5,1,4,no,yes,no,full stack,testing,yes,Computer Architecture,Business process analyst,higherstudies,Sales and Marketing,no,no,Romance,Technical,smart worker,yes,Data Architect
74.14285714,7,1,3,yes,no,yes,r programming,cloud computing,yes,Software Engineering,testing,higherstudies,BPA,yes,yes,Series,Management,smart worker,no,Network Security Administrator
81.14285714,11,5,8,yes,no,yes,r programming,web technologies,yes,networks,Business process analyst,higherstudies,Product based,yes,yes,Romance,Management,hard worker,yes,Database Developer
73,5,3,7,no,no,no,python,hacking,yes,Management,cloud computing,job,Service Based,no,no,Religion-Spirituality,Management,hard worker,no,Technical Engineer
74.42857143,12,4,1,no,yes,no,python,system designing,yes,programming,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Action and Adventure,Technical,hard worker,no,Business Intelligence Analyst
84.57142857,8,4,7,yes,yes,no,machine learning,web technologies,no,Management,Business process analyst,higherstudies,Finance,no,no,Health,Management,smart worker,yes,Mobile Applications Developer
74.57142857,7,3,1,yes,yes,yes,information security,testing,no,IOT,testing,job,Sales and Marketing,yes,no,Cookbooks,Technical,hard worker,no,Information Technology Auditor
75.57142857,7,5,7,yes,yes,yes,app development,testing,yes,cloud computing,testing,higherstudies,product development,no,yes,Anthology,Technical,smart worker,no,Information Technology Manager
80.57142857,4,1,1,no,no,no,shell programming,database security,yes,cloud computing,system developer,job,Web Services,no,yes,Biographies,Management,hard worker,no,E-Commerce Analyst
80.85714286,10,1,9,no,yes,no,app development,database security,no,programming,security,job,Cloud Services,yes,yes,Mystery,Technical,hard worker,no,Software Systems Engineer
80.28571429,11,1,5,no,no,yes,r programming,web technologies,no,Management,testing,higherstudies,product development,yes,no,Dictionaries,Management,hard worker,yes,Solutions Architect
78.85714286,11,3,7,yes,yes,yes,machine learning,data science,yes,cloud computing,testing,higherstudies,SAaS services,no,yes,Guide,Management,hard worker,yes,Design & UX
79.42857143,7,3,5,no,no,no,r programming,web technologies,yes,Computer Architecture,security,higherstudies,Web Services,yes,yes,Art,Management,smart worker,no,Systems Analyst
74.57142857,7,0,6,yes,yes,yes,shell programming,game development,no,Software Engineering,Business process analyst,higherstudies,Cloud Services,yes,yes,Health,Technical,hard worker,no,Quality Assurance Associate
78.71428571,9,4,5,no,no,no,app development,game development,yes,programming,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,Technical,smart worker,yes,Programmer Analyst
79.57142857,12,3,6,yes,no,no,shell programming,hacking,yes,Management,testing,higherstudies,product development,no,no,Anthology,Technical,hard worker,yes,Technical Engineer
77.85714286,10,4,7,no,yes,no,r programming,system designing,no,IOT,Business process analyst,job,Testing and Maintainance Services,yes,no,Action and Adventure,Technical,hard worker,yes,Mobile Applications Developer
78.71428571,10,6,7,yes,no,no,full stack,game development,yes,hacking,developer,higherstudies,SAaS services,no,no,Self help,Management,smart worker,no,Database Manager
81,7,6,8,yes,no,no,app development,testing,yes,parallel computing,system developer,job,Sales and Marketing,yes,yes,Self help,Technical,hard worker,yes,Business Intelligence Analyst
70.71428571,7,4,6,no,yes,no,information security,hacking,yes,networks,Business process analyst,job,Sales and Marketing,no,no,Guide,Management,smart worker,no,Software Developer
74.28571429,11,1,1,no,no,no,shell programming,database security,yes,data engineering,developer,higherstudies,Web Services,yes,no,Cookbooks,Management,smart worker,no,Solutions Architect
75.85714286,8,6,4,no,no,yes,r programming,hacking,yes,Computer Architecture,Business process analyst,higherstudies,Finance,yes,no,Biographies,Management,smart worker,yes,Portal Administrator
77.71428571,11,4,4,yes,yes,yes,r programming,cloud computing,no,networks,security,higherstudies,Web Services,no,yes,Guide,Technical,smart worker,no,Database Administrator
75.57142857,6,6,6,no,no,no,machine learning,data science,no,hacking,system developer,job,BPA,no,yes,Fantasy,Management,hard worker,yes,Design & UX
75.71428571,6,4,2,yes,yes,no,information security,game development,yes,Software Engineering,security,higherstudies,BPA,yes,yes,Fantasy,Management,hard worker,no,Systems Security Administrator
76.71428571,9,6,5,no,no,no,hadoop,data science,yes,IOT,cloud computing,higherstudies,Finance,no,no,Horror,Management,smart worker,no,Portal Administrator
74.42857143,4,5,4,no,no,no,information security,system designing,no,Management,system developer,job,Sales and Marketing,yes,no,Horror,Management,smart worker,no,Software Quality Assurance (QA) / Testing
73.85714286,12,4,1,no,yes,yes,distro making,testing,no,parallel computing,cloud computing,job,Sales and Marketing,no,no,Travel,Management,hard worker,yes,Network Security Engineer
83.57142857,12,2,7,yes,no,no,r programming,hacking,yes,hacking,testing,job,Finance,yes,yes,Horror,Technical,smart worker,yes,Business Systems Analyst
82.14285714,5,0,3,no,no,yes,app development,data science,no,Software Engineering,testing,higherstudies,Product based,yes,yes,Horror,Management,hard worker,no,Mobile Applications Developer
68.14285714,4,6,5,yes,yes,yes,information security,data science,no,Management,system developer,job,Sales and Marketing,yes,no,Childrens,Management,hard worker,no,Solutions Architect
75,4,2,8,no,no,yes,hadoop,data science,yes,data engineering,developer,higherstudies,SAaS services,yes,no,Self help,Technical,hard worker,yes,Technical Support
77.28571429,4,6,8,yes,yes,yes,information security,game development,yes,networks,security,higherstudies,Product based,no,no,Biographies,Management,smart worker,no,Network Security Administrator
73.71428571,5,2,8,no,no,yes,shell programming,game development,no,data engineering,developer,job,Finance,yes,no,History,Management,hard worker,yes,Software Systems Engineer
76.42857143,9,5,3,no,no,yes,app development,cloud computing,yes,data engineering,security,higherstudies,Testing and Maintainance Services,yes,yes,Science,Management,hard worker,yes,CRM Technical Developer
70.85714286,8,6,5,yes,yes,yes,machine learning,database security,yes,Management,system developer,job,product development,no,no,Dictionaries,Management,hard worker,yes,Mobile Applications Developer
78.42857143,5,0,3,no,no,no,machine learning,cloud computing,yes,data engineering,security,higherstudies,product development,yes,no,Dictionaries,Management,smart worker,yes,UX Designer
75,6,1,8,no,yes,yes,distro making,testing,yes,Software Engineering,system developer,higherstudies,Service Based,yes,no,Guide,Technical,hard worker,yes,Project Manager
77,12,2,2,yes,no,yes,shell programming,system designing,yes,Management,security,job,BPA,no,yes,Romance,Technical,smart worker,yes,Software Developer
81.28571429,11,6,9,yes,no,no,shell programming,system designing,no,parallel computing,testing,higherstudies,Service Based,yes,no,Science,Management,smart worker,no,UX Designer
82.28571429,9,6,8,no,yes,no,information security,game development,yes,programming,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Health,Technical,hard worker,no,Solutions Architect
76.42857143,4,1,1,yes,yes,no,machine learning,web technologies,yes,IOT,Business process analyst,job,product development,yes,no,Cookbooks,Management,smart worker,yes,Systems Security Administrator
74.85714286,11,2,4,yes,no,no,machine learning,cloud computing,no,parallel computing,developer,job,Web Services,yes,no,History,Technical,smart worker,no,Information Technology Manager
80,7,4,3,no,no,yes,hadoop,web technologies,no,data engineering,system developer,job,Web Services,yes,yes,Horror,Technical,hard worker,yes,Business Intelligence Analyst
78,10,1,1,no,no,no,information security,web technologies,no,networks,testing,higherstudies,Cloud Services,yes,no,Romance,Technical,hard worker,no,Network Security Administrator
76.57142857,6,5,1,no,no,yes,full stack,testing,no,cloud computing,cloud computing,higherstudies,Product based,no,yes,Satire,Management,hard worker,yes,CRM Business Analyst
78.42857143,8,2,1,no,no,yes,machine learning,data science,yes,cloud computing,developer,job,Testing and Maintainance Services,yes,no,Guide,Technical,smart worker,yes,Solutions Architect
80.42857143,4,1,9,no,no,yes,app development,data science,yes,Computer Architecture,Business process analyst,job,Finance,no,no,Science fiction,Management,smart worker,yes,Network Security Administrator
84.14285714,8,4,4,yes,yes,no,machine learning,web technologies,yes,data engineering,security,higherstudies,BPA,no,no,Religion-Spirituality,Technical,smart worker,no,Information Technology Auditor
79.14285714,11,0,3,yes,yes,no,shell programming,data science,no,data engineering,Business process analyst,higherstudies,Cloud Services,yes,yes,Health,Management,hard worker,no,CRM Technical Developer
82.14285714,7,3,2,yes,yes,no,app development,hacking,no,Management,testing,higherstudies,Service Based,no,no,Horror,Management,hard worker,no,UX Designer
73.71428571,8,5,5,yes,no,no,hadoop,system designing,yes,Computer Architecture,developer,job,Web Services,no,yes,Action and Adventure,Management,hard worker,yes,Business Systems Analyst
83,10,4,4,no,yes,yes,app development,database security,no,Management,cloud computing,job,Service Based,no,no,Biographies,Technical,hard worker,no,UX Designer
78.28571429,12,1,9,yes,no,yes,information security,hacking,no,parallel computing,Business process analyst,job,Service Based,no,no,Satire,Management,smart worker,no,Information Technology Manager
81.57142857,5,6,9,no,yes,no,distro making,data science,no,IOT,Business process analyst,job,Cloud Services,yes,yes,Self help,Technical,hard worker,no,Web Developer
83.85714286,6,3,3,no,yes,no,r programming,web technologies,yes,data engineering,developer,higherstudies,Sales and Marketing,yes,no,Science fiction,Technical,hard worker,no,Network Engineer
70.71428571,6,4,4,yes,yes,no,app development,system designing,yes,programming,testing,job,Finance,yes,no,Mystery,Technical,smart worker,no,Solutions Architect
81.71428571,11,3,7,yes,no,yes,hadoop,data science,no,Software Engineering,cloud computing,job,Sales and Marketing,no,no,Biographies,Technical,hard worker,yes,Systems Analyst
76.14285714,5,6,7,no,yes,no,full stack,game development,no,programming,developer,higherstudies,Cloud Services,yes,no,Travel,Technical,smart worker,no,Data Architect
79.28571429,7,3,2,no,no,yes,python,hacking,no,IOT,cloud computing,job,Finance,yes,no,Drama,Technical,hard worker,no,Systems Analyst
78.71428571,8,6,7,yes,yes,yes,r programming,game development,no,programming,developer,job,Finance,no,yes,Horror,Technical,hard worker,no,Technical Engineer
76,11,4,4,no,yes,no,r programming,testing,no,IOT,security,higherstudies,Service Based,no,yes,Horror,Technical,hard worker,yes,Software Systems Engineer
78.71428571,8,3,7,yes,no,no,information security,testing,yes,parallel computing,Business process analyst,job,Sales and Marketing,no,no,Series,Technical,hard worker,yes,Network Security Administrator
82.71428571,10,0,6,yes,yes,no,information security,hacking,yes,IOT,developer,job,SAaS services,yes,yes,Self help,Management,hard worker,yes,E-Commerce Analyst
74.42857143,7,4,3,yes,no,yes,shell programming,data science,no,Management,security,higherstudies,product development,no,no,Self help,Technical,hard worker,no,Design & UX
75.57142857,4,3,3,yes,yes,no,shell programming,hacking,no,programming,testing,job,Web Services,yes,yes,Horror,Management,smart worker,no,Software Systems Engineer
86.14285714,4,3,5,yes,yes,yes,information security,cloud computing,no,cloud computing,testing,job,product development,yes,yes,Guide,Technical,hard worker,no,Network Engineer
77,6,1,7,no,yes,yes,shell programming,data science,yes,hacking,security,job,Cloud Services,yes,yes,Autobiographies,Technical,hard worker,no,Systems Security Administrator
75,12,0,5,yes,yes,yes,information security,data science,yes,parallel computing,security,higherstudies,Sales and Marketing,yes,no,Satire,Management,hard worker,yes,Database Developer
75.28571429,11,5,9,yes,no,no,hadoop,system designing,yes,programming,system developer,higherstudies,Finance,yes,no,Travel,Management,smart worker,yes,Technical Support
71.28571429,4,3,3,no,no,yes,app development,testing,no,cloud computing,system developer,higherstudies,SAaS services,yes,yes,Autobiographies,Technical,smart worker,no,Data Architect
67.85714286,10,3,7,no,no,yes,information security,system designing,yes,Software Engineering,developer,job,Finance,no,no,Horror,Management,hard worker,yes,Network Security Administrator
73.14285714,9,0,3,no,no,no,python,database security,yes,cloud computing,testing,higherstudies,Product based,no,yes,Fantasy,Technical,hard worker,yes,E-Commerce Analyst
71.14285714,4,6,5,no,yes,no,machine learning,system designing,no,hacking,system developer,higherstudies,Cloud Services,no,yes,Art,Technical,hard worker,yes,Network Security Administrator
70,8,6,7,no,no,yes,python,system designing,yes,parallel computing,Business process analyst,job,BPA,yes,no,Horror,Management,smart worker,yes,CRM Technical Developer
82,10,0,6,yes,yes,yes,machine learning,web technologies,yes,hacking,developer,higherstudies,Cloud Services,no,no,Encyclopedias,Management,smart worker,no,CRM Business Analyst
84.14285714,10,1,2,no,yes,no,python,web technologies,no,Software Engineering,Business process analyst,job,Cloud Services,no,yes,Fantasy,Management,smart worker,yes,Database Administrator
75,10,6,7,no,no,yes,full stack,cloud computing,yes,Software Engineering,developer,higherstudies,BPA,no,yes,Horror,Management,hard worker,yes,E-Commerce Analyst
76.28571429,11,5,3,yes,no,no,full stack,game development,yes,hacking,Business process analyst,job,Sales and Marketing,no,yes,Poetry,Management,hard worker,yes,Design & UX
78.14285714,7,5,4,yes,no,no,python,data science,yes,IOT,cloud computing,job,BPA,yes,no,Cookbooks,Management,hard worker,yes,Programmer Analyst
77.85714286,8,3,7,yes,yes,yes,hadoop,web technologies,no,networks,testing,job,Product based,no,no,Childrens,Technical,smart worker,no,Technical Engineer
79,4,6,2,yes,yes,yes,full stack,cloud computing,no,parallel computing,cloud computing,higherstudies,product development,yes,yes,Encyclopedias,Management,hard worker,yes,Technical Services/Help Desk/Tech Support
78.28571429,4,0,6,yes,no,yes,full stack,data science,no,parallel computing,developer,higherstudies,Cloud Services,yes,yes,Encyclopedias,Management,hard worker,no,Design & UX
70.42857143,10,6,1,no,yes,yes,app development,testing,yes,hacking,cloud computing,higherstudies,product development,yes,yes,Diaries,Management,hard worker,no,Network Security Engineer
74.14285714,5,3,1,no,yes,no,shell programming,data science,yes,networks,security,higherstudies,SAaS services,no,no,Poetry,Management,hard worker,yes,Network Engineer
78.85714286,7,4,7,no,yes,yes,python,game development,yes,Management,testing,higherstudies,Cloud Services,no,yes,Horror,Technical,smart worker,no,Network Engineer
79.14285714,5,6,8,yes,no,no,full stack,testing,yes,Software Engineering,testing,job,Cloud Services,no,yes,Horror,Management,hard worker,yes,CRM Business Analyst
73.71428571,12,1,4,yes,no,yes,hadoop,testing,no,Software Engineering,security,higherstudies,product development,no,yes,Art,Technical,hard worker,no,CRM Business Analyst
79.14285714,12,6,3,yes,yes,no,shell programming,cloud computing,no,cloud computing,cloud computing,job,Web Services,yes,no,Horror,Management,smart worker,no,Network Engineer
81.42857143,4,3,5,no,no,yes,r programming,game development,yes,data engineering,Business process analyst,higherstudies,Product based,yes,no,Guide,Management,smart worker,yes,Technical Engineer
78.57142857,12,0,7,yes,no,no,app development,game development,yes,networks,cloud computing,higherstudies,Web Services,no,yes,Horror,Technical,hard worker,yes,Information Technology Manager
70,7,4,2,yes,no,yes,shell programming,system designing,yes,networks,cloud computing,job,product development,no,yes,Self help,Management,hard worker,yes,Systems Analyst
75,11,4,9,yes,yes,yes,full stack,data science,yes,Management,testing,job,Cloud Services,no,no,Self help,Technical,hard worker,no,Business Intelligence Analyst
77.28571429,9,0,4,no,yes,yes,app development,cloud computing,yes,programming,system developer,job,BPA,yes,yes,Romance,Technical,smart worker,yes,Network Security Administrator
83.42857143,5,6,6,no,yes,no,information security,data science,no,networks,testing,higherstudies,SAaS services,yes,no,Comics,Management,smart worker,yes,Mobile Applications Developer
80.85714286,7,1,2,no,yes,yes,full stack,game development,no,programming,developer,higherstudies,Cloud Services,yes,no,Drama,Management,hard worker,no,Network Engineer
80.14285714,4,6,4,no,yes,no,machine learning,game development,no,Management,security,job,Finance,no,yes,Horror,Management,hard worker,yes,Network Security Engineer
76,12,0,3,no,yes,no,shell programming,testing,no,Computer Architecture,testing,job,product development,no,yes,Trilogy,Technical,hard worker,no,Database Manager
79.85714286,9,4,8,no,yes,yes,distro making,system designing,yes,hacking,security,job,product development,yes,yes,Diaries,Management,hard worker,yes,Technical Engineer
80.14285714,7,2,7,no,yes,yes,shell programming,database security,no,Computer Architecture,Business process analyst,job,Web Services,yes,yes,Horror,Management,smart worker,yes,Information Technology Manager
81.85714286,5,4,4,yes,yes,yes,app development,game development,no,Management,security,job,SAaS services,no,no,Fantasy,Technical,hard worker,yes,Information Technology Manager
77.57142857,9,5,7,no,yes,yes,hadoop,game development,yes,data engineering,cloud computing,job,Cloud Services,no,no,Guide,Management,smart worker,yes,Database Developer
87.71428571,11,0,6,yes,no,yes,distro making,system designing,no,programming,security,higherstudies,Product based,no,no,History,Management,hard worker,no,CRM Technical Developer
75,5,4,7,yes,yes,no,r programming,web technologies,no,cloud computing,testing,job,BPA,yes,yes,Romance,Management,smart worker,no,Database Manager
77.42857143,5,3,2,no,yes,yes,hadoop,web technologies,yes,Software Engineering,system developer,job,BPA,yes,yes,Autobiographies,Technical,smart worker,no,Solutions Architect
77.57142857,8,1,4,yes,yes,yes,app development,game development,no,hacking,Business process analyst,higherstudies,Finance,yes,yes,Fantasy,Technical,smart worker,no,Information Security Analyst
78,5,4,9,yes,no,no,python,data science,no,networks,security,higherstudies,Sales and Marketing,no,no,Guide,Management,hard worker,yes,Software Engineer
77.57142857,6,5,6,yes,no,no,python,web technologies,no,Management,developer,job,Web Services,no,no,Biographies,Technical,smart worker,no,Technical Engineer
77,8,3,7,no,no,yes,python,data science,yes,Computer Architecture,system developer,job,Finance,yes,no,Series,Management,smart worker,no,Database Administrator
80.28571429,10,6,6,yes,yes,yes,distro making,cloud computing,no,IOT,testing,job,Sales and Marketing,no,yes,Satire,Technical,smart worker,yes,Information Technology Auditor
74,12,5,2,yes,no,no,hadoop,testing,yes,data engineering,Business process analyst,job,SAaS services,no,yes,Travel,Technical,hard worker,no,Web Developer
77.85714286,4,0,4,yes,no,yes,full stack,system designing,yes,IOT,testing,higherstudies,Testing and Maintainance Services,yes,yes,Fantasy,Technical,smart worker,yes,Business Systems Analyst
76.14285714,8,4,2,no,yes,yes,distro making,system designing,yes,hacking,Business process analyst,job,Testing and Maintainance Services,no,yes,Fantasy,Management,hard worker,yes,Network Security Administrator
78.42857143,7,5,3,no,yes,no,python,testing,no,IOT,Business process analyst,job,product development,yes,no,Guide,Technical,hard worker,no,Software Systems Engineer
75.42857143,6,6,5,no,yes,no,full stack,hacking,no,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Guide,Management,smart worker,yes,Web Developer
70.57142857,12,5,7,no,no,yes,python,hacking,no,Management,developer,higherstudies,Testing and Maintainance Services,yes,yes,Horror,Management,hard worker,yes,E-Commerce Analyst
77,6,0,9,yes,yes,no,full stack,data science,yes,Management,Business process analyst,higherstudies,Service Based,no,yes,Horror,Technical,smart worker,yes,Portal Administrator
76.28571429,8,3,3,yes,yes,no,app development,database security,yes,hacking,Business process analyst,higherstudies,Service Based,yes,no,Action and Adventure,Technical,smart worker,yes,Technical Engineer
87.14285714,11,3,2,yes,no,no,app development,game development,no,networks,Business process analyst,job,Testing and Maintainance Services,yes,yes,Mystery,Management,hard worker,no,Network Security Administrator
